,Name,Location,Mealtime,Date,Filters,Description,Serving_Size,Calories,Fat,Carbohydrates,Protein,Allergens,Ingredients
10,Oatmeal,Fresh Inspirations,Breakfast,"Sunday, January 30, 2022","['Vegan', 'Halal', 'Nourish']",Hot old-fashioned rolled oats (may contain wheat/gluten),7 oz,105.04,1.94,18.85,3.6,Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
11,Hard Boiled Eggs,Fresh Inspirations,Breakfast,"Sunday, January 30, 2022","['Vegetarian', 'Halal', 'Nourish']","Cage-free, hard boiled eggs",1 each,71.5,4.76,0.36,6.28,Egg,Cage free eggs
12,Mini Plain Bagel,Harvest Bakery,Breakfast,"Sunday, January 30, 2022","['Vegan', 'Halal']","Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 bagel,359.99,1.5,71,12.99,Gluten/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
13,Double Chocolate Muffin,Harvest Bakery,Breakfast,"Sunday, January 30, 2022","['Vegetarian', 'Halal']","Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,440,25,53,5,Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, cocoa, modified food starch, vegetable shortening (with soybean oil), nonfat dry milk, leavening, cornstarch, salt, artificial flavor, xanthan gum, guar gum, locust bean gum, egg whites, eggs, soybean oil, water, semisweet chocolate, soy lecithin, potassium sorbate. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
14,Cream Cheese Frosted Cinnamon Rolls,Harvest Bakery,Breakfast,"Sunday, January 30, 2022","['Vegetarian', 'Halal']","Produced in a facility that also uses milk, eggs, fish, tree nuts, peanuts, wheat, and soybeans.", each,230,12,25,4,Dairy/Gluten/Wheat,"Unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), milk, butter, pure cane sugar, yeast, salt, cream cheese (pasteurized cultured milk and cream, salt, xanthan, and/or carob bean, and/or guar gums), cinnamon. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
15,Crumb Donut,Harvest Bakery,Breakfast,"Sunday, January 30, 2022","['Vegan', 'Halal']","Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,150,7,21,2,Gluten/Soy/Soybean Oil/Wheat,"Donut: unbleached enriched wheat flour (wheat flour, malted barley flour, enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour (contains soy lecithin), leavening (sodium acid pyrophosphate, sodium bicarbonate), isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier (polyglycerol esters of fatty acids and monoglycerides, rice starch), spice, beta carotene (color), water, palm oil. Glaze: powdered sugar (sugar, maltodextrin), corn syrup, water. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
16,Pork Link Sausage,Pacific Fusion,Lunch,"Sunday, January 30, 2022",[],Traditional pork sausage with a touch of fennel and black pepper,3 oz,335.44,32.15,1.4,8.38,,"Pork sausage link (pork, water. Contains 2% or less of salt, sugar, spices, chili pepper, flavoring, smoke flavor. Packed in collagen casing)"
17,Scrambled Eggs,Pacific Fusion,Lunch,"Sunday, January 30, 2022","['Vegetarian', 'Halal', 'Nourish']",Softly scrambled cage-free eggs,3 oz,131.74,8.95,0,11.11,Egg,"Cage-free eggs, canola oil"
18,Fries Wedges Spicy,Pacific Fusion,Lunch,"Sunday, January 30, 2022","['Vegan', 'Halal']",Crispy-fried and seasoned potato wedges,3 oz,217.89,15.31,18.34,1.71,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Potato wedges (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, house-made seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)"
19,Fiesta Scrambler,Pacific Fusion,Lunch,"Sunday, January 30, 2022","['Vegetarian', 'Halal', 'Nourish']","Softly scrambled cage-free eggs with salsa, cheddar cheese and cilantro",3.5 oz,95.1,5.18,0.78,10.15,Egg/Dairy,"Cage-free egg whites, canola oil"
20,Tofu Scramble,Pacific Fusion,Lunch,"Sunday, January 30, 2022","['Vegan', 'Halal', 'Nourish']","Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.",3 oz,83.7,5.27,3.9,6.91,Soy/Gluten/Wheat,"Organic firm tofu (contains soy), yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric"
21,Breakfast Bar,Pacific Fusion,Lunch,"Sunday, January 30, 2022",[],,3 oz,685.82,58.42,4,36.51,All Major Allergens ,
22,Dirty Chips,Tomato Street Grill,Lunch,"Sunday, January 30, 2022","['Vegan', 'Halal']",Cooked in a premium peanut oil,3 oz,245.01,16.11,21.09,2.01,Peanut *Ingredient prepared in a fryer that`s not allergen-free,
23,Spicy Pork and Mustard Greens Soup,Tomato Street Grill,Lunch,"Sunday, January 30, 2022",[],,1 BAG,6443.21,256.93,775.59,280.01,Gluten/Soy/Wheat/Fish,"FG CSC Soup Spicy Pork and Mustard Greens (GROUND PORK;Greens, Mustard;GREEN ONION;LESS-SODIUM SOY SAUCE (water, soybeans, wheat, salt, lactic acid, sodium benzoate);GINGER;GARLIC;GLUTEN-FREE CHICKEN SOUP BASE (Chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor);CANOLA OIL;CRUSHED RED PEPPER;Spice, Cumin Seed, Whole;IODIZED SALT;FISH SAUCE (anchovy extract, water, salt, fructose, hydrolyzed vegetable protein);GROUND BLACK PEPPER;CSC Finish Goods OVERHEAD COST;);RICE NOODLES (Rice, water);"
24,Cream of Tomato Soup,Fresh Inspirations,Lunch,"Sunday, January 30, 2022","['Vegetarian', 'Halal']",Lightly-seasoned creamy tomato soup,1 cup,126.62,4.01,19.66,4.34,Dairy/Gluten/Wheat/Mushroom,"Reduced fat milk, tomato paste, gluten-free vegetable soup base (contains mushroom), carrot, celery, yellow onion, unbleached flour, corn starch, canola oil, beet sugar, green bell pepper, iodized salt, garlic, ground white pepper"
25,Chili Beans,Fresh Inspirations,Lunch,"Sunday, January 30, 2022","['Vegan', 'Nourish']","Pinto beans simmered in broth with green chiles, corn and spices",1 cup,227.11,2.79,43.69,10.17,Mushroom,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (reconstituted vegetable juice blend [concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), red wine vinegar, salt, dark chili pepper, canola oil, Jalapeno peppers, garlic, ground black pepper, Cayenne pepper, cumin"
26,Classic California Pasta Salad,Fresh Inspirations,Lunch,"Sunday, January 30, 2022","['Vegan', 'Halal']",,1 serving,140,4,22,4,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
27,Red Skin Potato Salad with Eggs,Fresh Inspirations,Lunch,"Sunday, January 30, 2022","['Vegetarian', 'Halal']",, 1/2 cup,230.01,13.01,24,3,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
28,Mediteranean Bar,Bistro,Dinner,"Sunday, January 30, 2022",[],Build your own bowl with Mediterranean flare with lemon herb rice.,each,-1,-1,-1,-1,No Major Allergens,
29,Italian Sausage,Bistro,Dinner,"Sunday, January 30, 2022",[],,1 EA,-1,-1,-1,-1,No Major Allergens,
30,Zhug,Bistro,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal']",,3 oz,N/A,N/A,N/A,N/A,No Major Allergens,
31,House Roasted Salsa,Bistro,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal', 'Nourish']","Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",2 tbsp,10.15,0.4,1.6,0.32,No Major Allergens,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
32,Hummus,Bistro,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal']",Garbanzo beans blended with lemon juice,plate,-1,-1,-1,-1,No Major Allergens,
33,Vanilla Chia Seed Pudding with Blueberrries,Fresh Inspirations,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal']","Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds",1 serving,448.82,41.51,20.46,5.24,Tree Nuts/Coconut,"Coconut milk, chia seeds, beet sugar, imitation vanilla (water, vanillin, caramel color, propylene glycol, ethyl vanillin, potassium sorbate), blueberries, shredded sweetened coconut (desiccated coconut processed with sugar, water, propylene glycol, salt, sodium metabisulfite), blanched slivered almonds"
34,Beef Gryo,Go Live,Dinner,"Sunday, January 30, 2022",[],"Sliced beef served on Pita bread with tomato, cucumber, and our house Tzatziki yogurt sauce",1 plate (about 8.8 oz),625.06,16.51,100.88,19.06,Dairy/Gluten/Soybean Oil/Wheat/Soy,"Pita bread (enriched wheat flour [niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour], water, soybean oil, yeast, salt, vital wheat gluten, dough conditioner [mono-diglycerides, calcium sulfate, guar gum, wheat starch, sodium metabisulfite, ascorbic acid], oat fiber, sugar, calcium propionate, fumaric acid), chicken gyro (chicken, water, chicken skins, soy protein concentrate, breadcrumbs [wheat flour, dextrose, salt, yeast]. Contains less than 2% of chicken broth, salt, seasoning [garlic powder, spices, onion powder, hydrolyzed corn protein, yeast extract, soybean oil], nonfat dry milk, sodium phosphate, yeast extract, lemon juice powder [corn syrup solids, concentrated lemon juice, lemon oil]), house Tzatziki sauce (nonfat plain yogurt, sour cream, cucumber, yellow onion, distilled vinegar, beet sugar, iodized salt, garlic powder, Worcestershire sauce [contains soy], ground white pepper, Tabasco sauce ), tomatoes, red onion, canola oil, cucumber"
35,Pork Carnitas Taco,Pacific Fusion,Dinner,"Sunday, January 30, 2022",[],Delicious pork tacos!,N/A,N/A,N/A,N/A,N/A,Contains ALL ALLERGENS,
36,Cilantro Rice,Pacific Fusion,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal']","Long grain white rice cooked with onion, cilantro, and herbs",1/2 cup,111.35,2.96,19.22,1.82,No Major Allergens,"Long grain white rice, yellow onion, canola/olive oil blend, fresh cilantro, garlic, iodized salt, ground white pepper, ground cumin"
37,Vegetarian Refried Beans,Pacific Fusion,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal', 'Nourish']",Pinto beans simmered and mashed with garlic and spices,3.5 oz,80.59,0.06,16.88,5.62,No Major Allergens,"Pinto beans (prepared pinto beans, water, salt, calcium chloride, calcium disodium EDTA), garlic, ground cumin, kosher salt"
38,Dirty Chips,Tomato Street Grill,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal']",Cooked in a premium peanut oil,3 oz,245.01,16.11,21.09,2.01,Peanut *Ingredient prepared in a fryer that`s not allergen-free,
39,Southwest Tofu,Tomato Street Grill,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal']","Marinated tofu simmered with black beans, onions, garlic and spices. Served with fresh cherry tomatoes and corn",N/A,N/A,N/A,N/A,N/A,Soy,
40,Cheeseburger,Tomato Street Grill,Dinner,"Sunday, January 30, 2022",['Halal'],"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted Swiss cheese.",burger,495.67,32.33,29.86,28.01,Dairy/Soy/Gluten/Sesame/Soybean Oil/Wheat/Mushroom,"Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)"
41,Spinach Alfredo Pizza,Saucey,Dinner,"Sunday, January 30, 2022","['Vegetarian', 'Halal']","Topped with our house made Alfredo sauce, cheese, tomato, onion, and spinach.",1 slice,230.91,8.24,29.69,8.97,Dairy/Mushroom/Soy/Egg/Gluten/Soybean Oil/Wheat,"Pizza dough (enriched unbleached wheat flour, water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening, Cheddar cheese, low moisture part skim Mozzarella cheese, whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese, house alfredo sauce (reduced fat milk, white cream sauce base [modified cornstarch, whey, lactose, sunflower oil, corn syrup solids, salt, hydrolyzed corn protein. Contains 2% or less of sodium caseinate, carrageenan, yeast extract, color added, dipotassium phosphate, mono- and diglycerides, dried onions, soy lecithin, disodium guanylate, disodium inosinate, lactic acid, calcium lactate, maltodextrin, natural flavor, dextrose], Parmesan cheese, gluten-free vegetable soup base [contains mushroom], garlic powder, ground black pepper), tomato, red onion, spinach, canola oil, garlic, Italian seasoning"
42,Hawaiian Pizza,Saucey,Dinner,"Sunday, January 30, 2022",[],Cheese pizza topped with pineapple and ham,1 slice,223.25,7.48,29.65,8.58,Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Pizza Dough, Pizza Sauce (Tomato, Garlic, Salt, Marjoram, Black Pepper, Italian Seasoning, Oregano, Basil, Cayenne Pepper, Thyme), Mozzarella Cheese, Pineapple, Ham, Garlic Oil"
43,Spicy Pork and Mustard Greens Soup,Saucey,Dinner,"Sunday, January 30, 2022",[],,1 BAG,6443.21,256.93,775.59,280.01,Gluten/Soy/Wheat/Fish,"FG CSC Soup Spicy Pork and Mustard Greens (GROUND PORK;Greens, Mustard;GREEN ONION;LESS-SODIUM SOY SAUCE (water, soybeans, wheat, salt, lactic acid, sodium benzoate);GINGER;GARLIC;GLUTEN-FREE CHICKEN SOUP BASE (Chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor);CANOLA OIL;CRUSHED RED PEPPER;Spice, Cumin Seed, Whole;IODIZED SALT;FISH SAUCE (anchovy extract, water, salt, fructose, hydrolyzed vegetable protein);GROUND BLACK PEPPER;CSC Finish Goods OVERHEAD COST;);RICE NOODLES (Rice, water);"
44,Cream of Tomato Soup,Saucey,Dinner,"Sunday, January 30, 2022","['Vegetarian', 'Halal']",Lightly-seasoned creamy tomato soup,1 cup,126.62,4.01,19.66,4.34,Dairy/Gluten/Wheat/Mushroom,"Reduced fat milk, tomato paste, gluten-free vegetable soup base (contains mushroom), carrot, celery, yellow onion, unbleached flour, corn starch, canola oil, beet sugar, green bell pepper, iodized salt, garlic, ground white pepper"
45,Chili Beans,Saucey,Dinner,"Sunday, January 30, 2022","['Vegan', 'Nourish']","Pinto beans simmered in broth with green chiles, corn and spices",1 cup,227.11,2.79,43.69,10.17,Mushroom,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (reconstituted vegetable juice blend [concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), red wine vinegar, salt, dark chili pepper, canola oil, Jalapeno peppers, garlic, ground black pepper, Cayenne pepper, cumin"
46,Classic California Pasta Salad,Saucey,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal']",,1 serving,140,4,22,4,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
47,Red Skin Potato Salad with Eggs,Saucey,Dinner,"Sunday, January 30, 2022","['Vegetarian', 'Halal']",, 1/2 cup,230.01,13.01,24,3,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
48,CHEF CHOICE SALAD,Saucey,Dinner,"Sunday, January 30, 2022",[],,1 EA,-1,-1,-1,-1,,
49,Caesar Salad,Saucey,Dinner,"Sunday, January 30, 2022",['Halal'],"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",1 SV,501.86,41.48,23.93,15.54,Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
50,Babaghanoush,Saucey,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal']","An Arabic spread made from eggplant, lemon juice, tahini, garlic, and a blend of canola and olive oil.",2 Tablespoons (1 oz),33.8,2.08,3.11,1.21,Sesame,"Eggplant, tahini paste (ground hulled sesame seeds), lemon juice, iodized salt, garlic, canola/olive oil blend"
51,Roasted Yellow Pepper Phesto Spread,Saucey,Dinner,"Sunday, January 30, 2022","['Vegan', 'Halal', 'Nourish']",,2 tablespoons,48.3,4.21,2.85,0.73,Tree Nuts,"Yellow bell pepper, extra virgin olive oil, chopped walnuts, fresh basil, canola/olive oil blend, garlic, iodized salt, kosher salt, crushed red pepper"
52,Tiramisu,Saucey,Dinner,"Sunday, January 30, 2022",['Vegetarian'],"Per manufacturer, produced in a plant that manufactures products made with peanuts and tree nuts",1 slice,170,8.5,20.5,2,Alcohol/Coconut/Dairy/Egg/Gluten/Wheat,"Mascarpone cheese (cream [milk], milk, citric acid), topping (water, palm kernel oil, coconut oils, high fructose corn syrup, sugar. Contains less than 2% of sodium caseinate, dextrose, polysorbate 60, sorbitan monostearate, guar gum, xanthan gum, beta carotene), water, lady finger cookies (wheat flour, sugar, eggs, leavening agents [sodium carbonate acid, ammonium carbonate acid], glucose syrup, natural flavoring, salt), sugar, sugared egg yolks (egg yolks, sugar), coffee liquor, cocoa powder, instant coffee, brandy liquor, modified food starch, whip stabilizer (sugar, corn starch, xanthan gum, sodium bicarbonate, citric acid, carob bean gum). Per manufacturer, produced in a plant that manufactures products made with peanuts and tree nuts."
53,Chocolate Chip Cookie,Saucey,Dinner,"Sunday, January 30, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 EA,400,19,55,4,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Wheat,"Enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), chocolate (sugar, unsweetened chocolate, cocoa butter, soya lecithin), unsalted butter (pasteurized cream, salt), brown sugar, sugar, eggs, vanilla extract, salt, baking soda. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
54,Vegan Oatmeal Raisin Cookie,Saucey,Dinner,"Sunday, January 30, 2022",['Vegan'],,1 cookie,177,6.1,41,3,Alcohol [vanilla extract]/Gluten/Wheat,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda"
