,Name,Filters,Date,Mealtime,Location,Serving Size,Calories,Fat (g),Carbohydrates (g),Protein (g),Description,Allergens,Ingredients
11,Oatmeal,"['Vegan', 'Halal', 'Nourish']","Sunday, February 13, 2022",Breakfast,, 7 oz, 105.04, 1.94, 18.85, 3.6,Hot old-fashioned rolled oats (may contain wheat/gluten),Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
12,Hard Boiled Eggs,"['Vegetarian', 'Halal', 'Nourish']","Sunday, February 13, 2022",Breakfast,, 1 each, 71.5, 4.76, 0.36, 6.28,"Cage-free, hard boiled eggs",Egg,Cage free eggs
13,Sticky Rice,"['Vegan', 'Halal']","Sunday, February 13, 2022",Breakfast,, 1/2 cup (3 oz), 161.7, 0.26, 35.64, 2.97,Steamed white calrose rice,,"White rice, water"
14,Mini Plain Bagel,"['Vegan', 'Halal']","Sunday, February 13, 2022",Breakfast,, 1 bagel, 359.99, 1.5, 71, 12.99,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Gluten/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
15,Double Chocolate Muffin,"['Vegetarian', 'Halal']","Sunday, February 13, 2022",Breakfast,, each, 440, 25, 53, 5,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, cocoa, modified food starch, vegetable shortening (with soybean oil), nonfat dry milk, leavening, cornstarch, salt, artificial flavor, xanthan gum, guar gum, locust bean gum, egg whites, eggs, soybean oil, water, semisweet chocolate, soy lecithin, potassium sorbate. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
16,Dutch Apple Coffee Cake,['Vegetarian'],"Sunday, February 13, 2022",Breakfast,, 1 SV, 208, 8, 33.6, 2.4,"Produced in a facility that also uses milk, eggs, fish, tree nuts, peanuts, wheat, and soybeans.",Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,
17,Crumb Donut,"['Vegan', 'Halal']","Sunday, February 13, 2022",Breakfast,, each, 150, 7, 21, 2,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Gluten/Soy/Soybean Oil/Wheat,"Donut: unbleached enriched wheat flour (wheat flour, malted barley flour, enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour (contains soy lecithin), leavening (sodium acid pyrophosphate, sodium bicarbonate), isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier (polyglycerol esters of fatty acids and monoglycerides, rice starch), spice, beta carotene (color), water, palm oil. Glaze: powdered sugar (sugar, maltodextrin), corn syrup, water. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
18,Butternut Squash Omelet,"['Vegetarian', 'Halal']","Sunday, February 13, 2022",Lunch,, 1 SV, 712.66, 59.61, 17.36, 29.55,"Fluffy omelet filled with butternut squash, Brussels sprouts, and our house almond Romescu sauce",Egg/Mushroom/Dairy/Tree Nuts,"Cage-free eggs, butternut squash (prepared with canola oil and iodized salt), roasted Brussels sprouts (Brussels sprouts, Balsamic vinegar, garlic, iodized salt, canola oil), canola/olive oil blend, house Romescu spread (red bell pepper, almonds, red wine vinegar, canola/olive oil blend, garlic, iodized salt, black caraway seed, ground cumin), Balsamic-marinated  mushrooms (Crimini mushrooms, Portobello mushrooms, canola/olive oil blend, Balsamic vinegar, fresh rosemary, Shiitake mushrooms, kosher salt, ground black pepper), house-made caramelized onion jam (yellow onion, gluten-free vegetable broth [vegetables {onions, celery, carrots}, maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika], extra virgin olive oil, Balsamic vinegar, light brown beet sugar, iodized salt, ground black pepper), Feta cheese"
19,Protein Omelet,[],"Sunday, February 13, 2022",Lunch,, 1 SV, 1397.81, 134.42, 3.79, 50.21,"Fluffy omelet filled with bacon, sausage, and Cheddar cheese",Dairy/Egg/Mushroom/Gluten/Soy/Wheat,"Cage-free eggs, canola/olive oil blend, beef and ham gravy (house beef gravy [beef, unbleached hi-gluten flour {wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid}, beef soup base {beef stock, maltodextrin, salt, sugar, yeast extract, beef fat, onion powder, natural flavor, beef extract}, canola oil, corn starch, light soy sauce {water, soybeans, wheat, salt, lactic acid, sodium benzoate. Per manufacturer, may contain eggs, fish, dairy, peanuts, shellfish, and tree nuts}, tomato, balsamic vinegar {wine vinegar, cooked and concentrated grape, caramel coloring}, carrots, celery, mushroom, yellow onion, browning sauce, garlic, iodized salt, ground black pepper, thyme], MSG-free ham soup base [ground & formed smoked ham {cured with water, salt, sodium lactate, natural hickory smoke flavor, corn syrup, dextrose, sodium phosphates, sugar, sodium diacetate, sodium erythorbate, sodium nitrite}, salt, maltodextrin, sugar, dextrose, hydrolyzed corn protein, natural flavors. Contains 2% or less of corn oil, modified corn starch, disodium inosinate, disodium guanylate, spices, lactic acid], beet sugar, organic fair-trade decaf ground coffee), mild yellow Cheddar cheese (cultured pasteurized milk, salt, enzymes, annatto, corn starch, potato starch, powdered cellulose, natamycin), bacon, Andouille sausage (pork, water, salt, dextrose, spices, paprika, garlic, natural smoke flavoring, sodium nitrite), chicken apple sausage (chicken, dehydrated apple, salt, spices, sugar, onion powder, in a pork casing)"
20,Cheese Omelet,"['Vegetarian', 'Halal']","Sunday, February 13, 2022",Lunch,, 1 EA, 616.95, 53.92, 0.51, 30.24,Fluffy egg omelet filled with Cheddar and Monterey Jack cheese,Dairy/Egg,"Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)"
21,Loaded Carne Asada Burrito Bowl,[],"Sunday, February 13, 2022",Lunch,, 1 SV, 596.68, 31.25, 52.55, 30.96,"Loaded burrito bowl with Mexican rice, pinto beans, and Carne Asada topped with tomatillo avocado sauce",,"Pinto beans (canned pinto beans [prepared pinto beans, water, salt, calcium chloride, calcium disodium EDTA], reserved liquid from canned beans, green bell peppers, yellow onion, canola oil, garlic, iodized salt, fresh basil, dark chili powder, ground black pepper, ground cumin, paprika, thyme, Mediterranean oregano, lemon juice, fresh cilantro), Mexican rice (gluten-free vegetable broth [vegetables [onions, celery, carrots], maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika], long grain white rice, tomato, yellow onion, carrot, corn, green bell pepper, canola oil, Achiote paste [Annatto seeds, vinegar, salt, water, granulated garlic, spices, sodium benzoate, corn meal, corn flour, FD&C #40], celery, garlic powder, iodized salt, ground black pepper), Carne Asada (beef flank steak, canola/olive oil blend, fresh cilantro, lime juice, garlic, kosher salt, ground coriander, ground black pepper, crushed red pepper flakes), avocado tomatillo salsa (tomatillos, avocado, canola/olive oil blend, fresh cilantro, kosher salt), cilantro microgreens"
22,French Onion Soup,[],"Sunday, February 13, 2022",Lunch,, 1 cup, 90.54, 1.73, 14.73, 2.1,"Beef-based soup with onions, Sherry cooking wine, and spices",Alcohol,"Yellow onion, gluten-free beef soup base (beef stock, maltodextrin, salt, sugar, yeast extract, beef fat, onion powder, natural flavor, beef extract), Sherry cooking wine (wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate, potassium metabisulfite), corn starch, canola oil, iodized salt, ground white pepper"
23,Butternut Squash Lentil Soup,"['Vegan', 'Halal', 'Nourish']","Sunday, February 13, 2022",Lunch,, 1 cup, 103.22, 2.46, 17.97, 3.7,"Fresh butternut squash simmered with lentils, tomatoes, and spices",Mushroom,"Butternut squash, Swiss chard, tomatoes, yellow onion, brown lentils, corn starch, celery, canola/olive oil blend, gluten-free vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), Jalapeno peppers, beet sugar, iodized salt, garlic, apple cider vinegar, lemon juice, paprika, ground coriander, ground cinnamon, ground cumin"
24,Spicy Vegan Chili,[],"Sunday, February 13, 2022",Lunch,, 1 BAG, 3192.9, 41.4, 610.34, 141.79,,Mushroom,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (contains mushroom), red wine vinegar, salt, dark chili pepper, canola oil, jalapeno, garlic, ground black pepper, cayenne pepper, cumin, red Fresno pepper, Habanero pepper, Serrano pepper, canola/olive oil blend"
25,Red Skin Potato Salad with Eggs,"['Vegetarian', 'Halal']","Sunday, February 13, 2022",Lunch,,  1/2 cup, 230.01, 13.01, 24, 3,,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
26,Classic California Pasta Salad,"['Vegan', 'Halal']","Sunday, February 13, 2022",Lunch,, 1 serving, 140, 4, 22, 4,,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
27,CHEF CHOICE SALAD,[],"Sunday, February 13, 2022",Lunch,, 1 EA, -1, -1, -1, -1,,,
28,Caesar Salad,['Halal'],"Sunday, February 13, 2022",Lunch,, 1 SV, 501.86, 41.48, 23.93, 15.54,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
29,Deli Bar,[],"Sunday, February 13, 2022",Lunch,, 1 EA, -1, -1, -1, -1,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,
30,Chocolate Swirl Cheesecake Bars,['Vegetarian'],"Sunday, February 13, 2022",Lunch,, 1 SV, 312, 20.8, 26.4, 4,"Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish",Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Wheat,"Cream cheese (pasteurized cultured milk and cream, salt, stabilizer), pure cane sugar, eggs, sour cream (cultured cream. Contains less than 2% of whey, modified corn starch, sodium tripolyphosphate, guar gum, carrageenan, calcium sulfate, locust bean gum, potassium sorbate), vanilla extract, crumbs (graham cracker flour, enriched wheat flour, sugar, corn flour, palm oil, corn syrup, molasses, whey, honey, leavening, salt, artificial color, natural flavor, soy lecithin), butter, sugar, heavy cream, unsweetened chocolate. Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish"
31,Oatmeal Cookie,['Vegetarian'],"Sunday, February 13, 2022",Lunch,, 1 EA, 360, 14, 52, 6,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Alcohol [vanilla extract]/Egg/Gluten/Soybean Oil/Wheat,"Oats, brown sugar, margarine (palm oil, water, soybean oil, salt, mono- and diglycerides, annatto, calcium disodium EDTA, vitamin A palmitate), sugar, raisins, enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), eggs, cinnamon, baking soda, vanilla extract, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
32,Vegan Chocolate Chip Cookie,"['Vegan', 'Halal']","Sunday, February 13, 2022",Lunch,, 1 cookie, 190, 11, 38, 2.3,,Gluten/Wheat,"Vegan chocolate chips, unbleached wheat flour, organic evaporated cane sugar, sustainable RSPO palm oil shortening, vegan molasses, grape juice, rice dextrins, sea salt, pure vanilla, baking soda"
33,Hamburgers / Cheeseburgers,[],"Sunday, February 13, 2022",Dinner,Tomato Street Grill, N/A, N/A, N/A, N/A, N/A,,"Gluten, wheat, dairy, soybean oil",
34,Curly Fries,['Vegan'],"Sunday, February 13, 2022",Dinner,Tomato Street Grill, N/A, N/A, N/A, N/A, N/A,*Ingredient prepared in a fryer not designated allergen-free*,May contain all major allergens,
35,Loaded Carne Asada Burrito Bowl,[],"Sunday, February 13, 2022",Dinner,Seasonality, 1 SV, 596.68, 31.25, 52.55, 30.96,"Loaded burrito bowl with Mexican rice, pinto beans, and Carne Asada topped with tomatillo avocado sauce",,"Pinto beans (canned pinto beans [prepared pinto beans, water, salt, calcium chloride, calcium disodium EDTA], reserved liquid from canned beans, green bell peppers, yellow onion, canola oil, garlic, iodized salt, fresh basil, dark chili powder, ground black pepper, ground cumin, paprika, thyme, Mediterranean oregano, lemon juice, fresh cilantro), Mexican rice (gluten-free vegetable broth [vegetables [onions, celery, carrots], maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika], long grain white rice, tomato, yellow onion, carrot, corn, green bell pepper, canola oil, Achiote paste [Annatto seeds, vinegar, salt, water, granulated garlic, spices, sodium benzoate, corn meal, corn flour, FD&C #40], celery, garlic powder, iodized salt, ground black pepper), Carne Asada (beef flank steak, canola/olive oil blend, fresh cilantro, lime juice, garlic, kosher salt, ground coriander, ground black pepper, crushed red pepper flakes), avocado tomatillo salsa (tomatillos, avocado, canola/olive oil blend, fresh cilantro, kosher salt), cilantro microgreens"
36,Tofu Poke Bowl,['Vegan'],"Sunday, February 13, 2022",Dinner,Seasonality, 1 bowl, 349.15, 33.32, 4.11, 8.91,"Organic tofu tossed in a creamy cilantro sauce with Furikake sesame seasoning, red onion, rice crackers, and seaweed salad",Alcohol/Mushroom/Sesame/Gluten/Soy/Wheat,"Firm tofu, creamy cilantro sauce (vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], fresh cilantro, lime juice, ginger, garlic, kosher salt), Wakami seaweed salad (seaweed, oligosaccharide, vinegar, sugar, salt, cooking wine, sesame oil, roasted sesame seeds, red pepper, thickening agent, Kikurage mushroom, agar agar, FD&C yellow #5, FD&C blue #1), cilantro microgreens, red onion, Bubu Arare puffed rice crackers (sweet rice flour, salt, seaweed, millet jelly), Furikake Nori Goma rice seasoning (sesame seeds, salt, seaweed, monosodium glutamate, sugar, sweet wine [water, rice, malted rice], lactose, dextrin, soy sauce [water, soybeans, wheat, sat], green tea powder)"
37,French Onion Soup,[],"Sunday, February 13, 2022",Dinner,Fresh Inspirations, 1 cup, 90.54, 1.73, 14.73, 2.1,"Beef-based soup with onions, Sherry cooking wine, and spices",Alcohol,"Yellow onion, gluten-free beef soup base (beef stock, maltodextrin, salt, sugar, yeast extract, beef fat, onion powder, natural flavor, beef extract), Sherry cooking wine (wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate, potassium metabisulfite), corn starch, canola oil, iodized salt, ground white pepper"
38,Butternut Squash Lentil Soup,"['Vegan', 'Halal', 'Nourish']","Sunday, February 13, 2022",Dinner,Fresh Inspirations, 1 cup, 103.22, 2.46, 17.97, 3.7,"Fresh butternut squash simmered with lentils, tomatoes, and spices",Mushroom,"Butternut squash, Swiss chard, tomatoes, yellow onion, brown lentils, corn starch, celery, canola/olive oil blend, gluten-free vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), Jalapeno peppers, beet sugar, iodized salt, garlic, apple cider vinegar, lemon juice, paprika, ground coriander, ground cinnamon, ground cumin"
39,Red Skin Potato Salad with Eggs,"['Vegetarian', 'Halal']","Sunday, February 13, 2022",Dinner,Fresh Inspirations,  1/2 cup, 230.01, 13.01, 24, 3,,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
40,Classic California Pasta Salad,"['Vegan', 'Halal']","Sunday, February 13, 2022",Dinner,Fresh Inspirations, 1 serving, 140, 4, 22, 4,,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
41,Assorted Cookies,['Vegetarian'],"Sunday, February 13, 2022",Dinner,Harvest Bakery, 1 EA, 360, 14, 52, 6,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Alcohol [vanilla extract]/Egg/Gluten/Soybean Oil/Wheat,"Oats, brown sugar, margarine (palm oil, water, soybean oil, salt, mono- and diglycerides, annatto, calcium disodium EDTA, vitamin A palmitate), sugar, raisins, enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), eggs, cinnamon, baking soda, vanilla extract, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
